Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,-1.0327504240603632e-109,-7.49467769270607e-09,-9.799425205029132e-06,-0.00012041696136672891,-0.00043866624953139846,-0.0009790424400620641,-0.0017076497546096587,-0.0025836511259147536,-0.003572438271489169,-0.004647414095432335,-0.005788750462922159,-0.006981748673427025,-0.008215461286717846,-0.009481659793079186,-0.010774091141674219,-0.012087948489861866,-0.01341949427504421,-0.014765790108105898,-0.01612450148528844,-0.017493755158746307
0.04,1.650586420702109e-95,-2.943713961171246e-10,-2.0975395337117105e-06,-4.658731736551862e-05,-0.0002256894106562264,-0.0005924453798068405,-0.0011450596030388074,-0.001857861534144819,-0.0027011569172523467,-0.0036485707664897426,-0.004678689067018653,-0.005774718401519354,-0.006923643156582474,-0.008115386304365316,-0.009342112793342253,-0.01059768876342274,-0.01187727310438318,-0.013177012058927528,-0.014493811194780874,-0.015825164605608247
0.08,3.748048475787029e-89,-1.0195775513742491e-11,-4.0397818984929123e-07,-1.669774597252349e-05,-0.00011000329546056084,-0.00034474619853647187,-0.0007457078199061479,-0.0013062742804201826,-0.002006468514617952,-0.0028236952608931298,-0.0037372394648885164,-0.004729597784692414,-0.005786500282220778,-0.006896487797303195,-0.008050401829843401,-0.00924091681190976,-0.01046215086726213,-0.011709355464893163,-0.0129786728155462,-0.014266947780458299
0.12,1.1556578480732601e-86,-3.3084354156675947e-13,-7.358256248178685e-08,-5.67762884970417e-06,-5.1352621226337806e-05,-0.0001939258740873318,-0.0004729110893305376,-0.0008993235521385344,-0.0014654005229709779,-0.0021552278513407314,-0.00295106879826165,-0.0038362859382631495,-0.004796384730364139,-0.005819176902761708,-0.006894586134842699,-0.008014341900448276,-0.009171667381399216,-0.01036100140394013,-0.011577765006486593,-0.012818171172949266
0.16,1.2694262460114093e-67,-1.016995878736422e-14,-1.294689023546154e-08,-1.8614296681721888e-06,-2.3184234973505006e-05,-0.00010602929648221214,-0.00029295318476112544,-0.0006073400557162718,-0.0010533727437418892,-0.001623415932824542,-0.0023045416083746,-0.0030824923826079905,-0.0039436619359845505,-0.004875906537188455,-0.005868753928935919,-0.006913333938097975,-0.008002199657739125,-0.009129121104884409,-0.010288887909388464,-0.011477135046005086
0.2,1.8724886651509514e-62,-2.991067458406958e-16,-2.223464771515534e-09,-5.946235818937413e-07,-1.0201734255440679e-05,-5.66336911376054e-05,-0.00017782998252080805,-0.0004031278841990047,-0.0007461953458228199,-0.0012077474059680625,-0.001780713832114637,-0.002454416703020857,-0.0032171732807002185,-0.004057684617939697,-0.004965668106910618,-0.005932069546803759,-0.0069490613391731855,-0.008009943369385694,-0.009109008473929349,-0.010241403441324716
0.24,8.249866581939135e-55,-7.985338144392314e-18,-3.74959148863244e-10,-1.8633293748833243e-07,-4.401186160567916e-06,-2.9681863071744304e-05,-0.00010610037819227126,-0.000263531286011907,-0.0005216238199920165,-0.0008882356269953091,-0.0013623133388323081,-0.001937468698920634,-0.002604755310948302,-0.0033544453110336036,-0.004177030881712338,-0.005063720626084943,-0.006006637119357141,-0.006998850420457651,-0.008034328753742973,-0.00910785272107297
0.28,3.4449272481485502e-40,9.07889622281282e-09,8.090142995143375e-08,4.41920383184474e-08,-1.7640804954565426e-06,-1.521757400444369e-05,-6.229544376522891e-05,-0.00016991398372346732,-0.000360248115174785,-0.0006463371693513971,-0.0010325294701877135,-0.001516892000288035,-0.0020937097427642234,-0.0027553931793590646,-0.003493730665390345,-0.004300628354414851,-0.005168503073577024,-0.006090459104684281,-0.007060338761972336,-0.008072703984953833
0.32,1.7287536388340136e-38,3.605772502920612e-08,2.0446895682012872e-05,9.763837849824252e-05,0.00012949921223839048,0.0001256699629059726,9.084336587426248e-05,9.436111132094672e-06,-0.00013814194441521627,-0.00036707517569855436,-0.0006856796519634971,-0.0010960897870558443,-0.001595997809150798,-0.0021803701870568752,-0.0028427702021656407,-0.0035762541520099065,-0.0043739252938929645,-0.005229246525680289,-0.006136195549344396,-0.007089322899674157
0.36,5.617918764817595e-28,1.0944000425352782e-06,0.00018713263151880644,0.0005137953425293404,0.000642513016165154,0.0006467082667206486,0.0005912706738982987,0.0004922213666370865,0.00034180180408167676,0.00012705433975869265,-0.00016237119500613518,-0.0005320981694137948,-0.000983375524496771,-0.0015142165888027107,-0.00212056703990732,-0.0027972387488014124,-0.0035385702487359806,-0.004338856303438786,-0.005192606641492162,-0.006094687454287146
0.4,1.3391613637494304e-16,4.214465427897396e-05,0.00045244145378349633,0.0012910561939120015,0.0017894048051131824,0.0018677165868220779,0.0017640868483996082,0.0015865557271362155,0.0013635373496257677,0.0010943476247450112,0.0007708021788338602,0.0003853069164431155,-6.67401511960583e-05,-0.0005868265041550049,-0.0011739723879040248,-0.0018255072093769297,-0.002537738425377493,-0.003306454421604775,-0.0041272727151334095,-0.004995865757937399
0.44,3.3021953914115052e-15,9.991868133550282e-05,0.0012687658826361834,0.0028675588941354975,0.0037671625729640205,0.00397839003105185,0.00384032238868793,0.003555673842384188,0.0032061412610236454,0.002816634971191018,0.002389606523245722,0.0019204305581531924,0.001403780739923372,0.0008358887894147943,0.00021500473232993473,-0.0004588454188623977,-0.001184304658013263,-0.001959123528413598,-0.002780519889121505,-0.0036454475655021655
0.48,2.106013564954504e-06,0.0010155758138936139,0.002916376773039188,0.004859447783238335,0.006114289960908655,0.006543201065380786,0.006471436445976748,0.0061540130449640055,0.005718834233821078,0.005221200014902644,0.004681693441685518,0.0041056254117040275,0.003492454600605532,0.0028401366208748897,0.0021469439180727516,0.001412064783725703,0.0006356534563326278,-0.00018133294892981578,-0.0010373518897964422,-0.0019304791045366225
0.52,0.001107261623468969,0.0026372312269746147,0.004969725518777522,0.007174261591119215,0.008689792628464749,0.009332836025972367,0.009378422146622751,0.009095155471313825,0.008636953439282773,0.008080788364211517,0.007462983958062991,0.006799636570378908,0.006097226167124855,0.005358020614913146,0.004582744657408855,0.00377181638292297,0.002925849798246311,0.002045798801269026,0.0011329405344020467,0.0001887988030465199
0.56,0.003063752528702874,0.005164168735812935,0.007533898399814077,0.009783635324661366,0.011442379841144119,0.012261199771543205,0.012438136536143717,0.012229132680579331,0.011798062178799024,0.011233941645210443,0.010583252592430873,0.0098700842188211,0.00910701181943531,0.008300829871891797,0.007455541988939178,0.006573885745798245,0.00565807719021395,0.004710147066101389,0.0037320709532397594,0.0027258016691439546
0.6,0.006349335708344007,0.008140824432815899,0.010373845377653053,0.012576929068645059,0.014306755100212808,0.015261349987578998,0.0155630250092319,0.015444540418144376,0.01507164098938337,0.014539367833869936,0.01389942055911515,0.013179968317425683,0.01239686732593648,0.011559652321411183,0.010674664743003746,0.009746648435442828,0.008779535638581203,0.007776813865846794,0.006741683287384087,0.005677115218344213
0.64,0.009777731635959033,0.011288778405014365,0.013370651295581942,0.015497771410241957,0.017255163378609592,0.01831014253369124,0.018719345559637286,0.01868822050618431,0.018380823452548482,0.01789650269323099,0.017290799919653804,0.016594292224869127,0.01582417618831794,0.014990756990206806,0.014100935452622556,0.0131600056173048,0.012172526890333902,0.011142706737979206,0.010074538183830604,0.008971825029812322
0.68,0.013247694711335849,0.014544502821322951,0.016479270233476614,0.018518100956211366,0.02027474312448326,0.021401793842440203,0.021901114003241576,0.021948859835202703,0.021704196250544056,0.02126943373177513,0.020703755143534366,0.020040247377551692,0.01929738892464814,0.018485877590174005,0.017612499633526887,0.01668223401970943,0.01569933035828751,0.014667807202368243,0.013591637718138006,0.01247477898273031
0.72,0.016730759853552178,0.017873576950646272,0.019670978151960686,0.021617660689130683,0.023355191277178607,0.024532267578100852,0.025106388471901185,0.02522436656626989,0.025037896365921332,0.024650699202947733,0.024125106419104952,0.023496800374216455,0.02278582689751909,0.02200352042159706,0.021156630096821873,0.020249694030211752,0.019286343765778344,0.018269967913233744,0.01720400347735141,0.016092021558955602
