Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,-2.2087738366652465e-20,-1.2389866903656538e-19,-5.018906716939414e-19,-1.9179140954812797e-18,-6.138485766249177e-18,-1.4464371581417384e-17,-2.3613451015841602e-17,-2.9736306626643146e-17,-3.4042109134501754e-17,-4.0478257170837914e-17,-5.595769099831163e-17,-9.531580069639645e-17,-1.9149944310553814e-16,-4.146380608570744e-16,-9.047708913301466e-16,-1.9184674705242808e-15,-3.867541353688713e-15,-7.273132078090499e-15,-1.2509657620146564e-14,-1.9371168156824208e-14
0.04,7.850120719188649e-18,1.7006917015878355e-18,3.1624384863591587e-19,4.749311307166876e-20,-1.0850010147572907e-21,-2.048308553313508e-20,-4.4884343046422346e-20,-6.880254529251436e-20,-8.481687015796657e-20,-9.761386396670216e-20,-1.1857069260733207e-19,-1.6807132364085448e-19,-2.889842252484621e-19,-5.73122953198038e-19,-1.2091503538052074e-18,-2.5622876081758617e-18,-5.285739559378937e-18,-1.0417324719727562e-17,-1.9301509513026718e-17,-3.306057521582743e-17
0.08,7.679453328987101e-16,4.464951813670704e-16,1.6210560557041076e-16,3.98925621315156e-17,7.541542943807231e-18,1.1119383306003188e-18,1.17811575748877e-19,7.778804436868124e-21,1.258268250550189e-22,-2.2311505719826065e-22,-2.6710302093013643e-22,-3.264478047482103e-22,-4.603493306357994e-22,-7.741307301959359e-22,-1.4849190616325681e-21,-3.024908359296802e-21,-6.209813903712414e-21,-1.247687056437848e-20,-2.4121654167522888e-20,-4.427210713460041e-20
0.12,2.5616630873482746e-15,2.0624940768210682e-15,1.90673497702552e-15,1.8018682396535403e-15,1.5534969400471607e-15,9.515500352504267e-16,2.925135015672467e-16,4.4937078334562347e-17,3.9851835502205436e-18,2.1236045554589425e-19,7.05358158318819e-21,1.4750753435208057e-22,1.0036286797499312e-24,-1.1992610738141336e-24,-1.981145865582987e-24,-3.66476185593114e-24,-7.203137445053517e-24,-1.4330008467816848e-23,-2.8056489409294244e-23,-5.320437672799196e-23
0.16,2.1501457020422226e-13,7.780860339585678e-14,2.6667143303430584e-14,9.854879844325536e-15,4.967474903761898e-15,3.722058450549318e-15,3.4407301567310335e-15,3.347507542410271e-15,3.1025527783149957e-15,1.9164764338361842e-15,3.1571240237858456e-16,1.77706451309479e-17,5.968298063280455e-19,1.230882866113202e-20,1.3863739570903927e-22,6.931701327417761e-25,-7.560079635026361e-27,-1.6508273770155877e-26,-3.182857932672199e-26,-6.073704308927101e-26
0.2,7.351994528995157e-12,6.4441895365170505e-12,4.92593866999857e-12,2.978498641289192e-12,1.3478044505240744e-12,4.712649380599044e-13,1.3691632375482838e-13,3.6681523930914015e-14,1.1978516413846928e-14,6.983729874186241e-15,6.1761707314436685e-15,6.056205629662062e-15,5.82001819582074e-15,3.641309411739381e-15,3.671364384293609e-16,9.92191363677669e-18,1.2334861634699917e-19,5.449091950440186e-22,5.037702394421166e-25,-3.111033169415306e-29
0.24,3.141667963655376e-11,2.1527493911782958e-11,1.716932310616323e-11,1.5374272904866134e-11,1.464593022126967e-11,1.4247510533858427e-11,1.3731621022487208e-11,1.2560949055403068e-11,9.857305427193715e-12,5.4466390579921106e-12,1.8122990580819614e-12,3.9036798154058054e-13,6.658610672989445e-14,1.6489091509399912e-14,1.1205634431360582e-14,1.0855022632733643e-14,1.0816961721507423e-14,1.0403057493004858e-14,4.371736100851243e-15,6.602985551186117e-17
0.28,3.927569733612681e-09,2.2837865196052035e-09,1.2302467186647744e-09,6.181685958687018e-10,2.9362120905203125e-10,1.3631459103282104e-10,6.691454976911021e-11,3.9321509719679165e-11,2.95847995428617e-11,2.659536112989944e-11,2.5807125292595403e-11,2.56012896779646e-11,2.5444225332798724e-11,2.4976597463659785e-11,2.303815460433205e-11,1.5483316876562635e-11,3.734665374760848e-12,2.763704465021393e-13,2.5440498383020314e-14,1.937140866956382e-14
0.32,4.674122179648171e-08,4.512184375854296e-08,4.325238583008728e-08,4.0755135769299016e-08,3.720778923975094e-08,3.221304140796757e-08,2.565769076932932e-08,1.8129584806134048e-08,1.100037108512255e-08,5.633960015886559e-09,2.4350917186314987e-09,8.98763011595752e-10,2.957641883156521e-10,1.0354209964717297e-10,5.5390974491844205e-11,4.648606772032332e-11,4.53832844638951e-11,4.5303643779664267e-11,4.5298416078165955e-11,4.5287137142623827e-11
0.36,3.2743165233434865e-07,2.444034326967141e-07,1.855544732468188e-07,1.4534173641483378e-07,1.1898214379352796e-07,1.0250311886955061e-07,9.274076238826449e-08,8.72908265414985e-08,8.442037527677009e-08,8.295039405295765e-08,8.21207117615831e-08,8.144650812155705e-08,8.056659798888046e-08,7.905926944234695e-08,7.614387388103761e-08,7.009103199179469e-08,5.741515222027104e-08,3.5105910992227465e-08,1.2028691878975152e-08,1.8909420350021223e-09
