Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0,-1.65E-109,-5.44E-08,-6.64E-05,-0.000814539,-0.00297839,-0.006686616,-0.011744347,-0.017896096,-0.02491278,-0.032609113,-0.040840545,-0.04949563,-0.058488541,-0.067752911,-0.077237084,-0.086900542,-0.096711239,-0.106643627,-0.116677167,-0.126795227
0.04,4.78E-94,-2.89E-09,-1.87E-05,-0.000383804,-0.001768632,-0.004505973,-0.008557046,-0.013742603,-0.019864658,-0.026747122,-0.034244434,-0.042239666,-0.050639865,-0.05937128,-0.068375257,-0.077604927,-0.087022619,-0.096597866,-0.106305858,-0.116126267
0.08,4.37E-87,-1.02E-10,-3.95E-06,-0.000154061,-0.00095786,-0.002869254,-0.00600822,-0.010287984,-0.015552794,-0.021642567,-0.028415241,-0.03575163,-0.043554056,-0.051743182,-0.060254693,-0.069036367,-0.078045636,-0.087247645,-0.096613698,-0.106120044
0.12,5.36E-82,-3.31E-12,-7.34E-07,-5.52E-05,-0.000478094,-0.001727825,-0.004058602,-0.007492858,-0.011934035,-0.017248513,-0.023303607,-0.029981288,-0.037181281,-0.044820093,-0.052828765,-0.061150459,-0.069738264,-0.078553347,-0.087563433,-0.096741575
0.16,4.06E-66,-1.02E-13,-1.30E-07,-1.85E-05,-0.000224117,-0.000990209,-0.0026415,-0.005307509,-0.008966903,-0.01352644,-0.018871612,-0.024890621,-0.03148349,-0.038564271,-0.046060412,-0.053911142,-0.062065672,-0.070481523,-0.079123076,-0.087960366
0.2,1.61E-62,-2.99E-15,-2.23E-08,-5.94E-06,-0.000100537,-0.00054504,-0.00166272,-0.003661037,-0.006598215,-0.010434059,-0.015082934,-0.020446362,-0.026428967,-0.032944882,-0.039919454,-0.047288874,-0.054999025,-0.063004131,-0.071265462,-0.079750187
0.24,3.92E-54,-8.25E-17,-3.76E-09,-1.87E-06,-4.38E-05,-0.000290849,-0.001017382,-0.002465108,-0.004759512,-0.00791892,-0.011896103,-0.016613977,-0.021987378,-0.027934108,-0.03437962,-0.041258413,-0.048513857,-0.056097374,-0.063967429,-0.072088518
0.28,4.69E-40,6.71E-09,3.53E-08,-5.32E-07,-1.86E-05,-0.00015162,-0.000608301,-0.001625234,-0.003370919,-0.005917574,-0.009261404,-0.013353834,-0.018126005,-0.0235038,-0.029415742,-0.035796545,-0.042588268,-0.049740291,-0.057208737,-0.064955719
0.32,1.72E-38,2.52E-08,2.36E-05,0.000220877,0.00051007,0.000641443,0.000457118,-0.000201827,-0.001486232,-0.003492272,-0.006251219,-0.009744703,-0.013924982,-0.018730891,-0.024097983,-0.029964117,-0.036272119,-0.04297075,-0.05001477,-0.057364558
0.36,5.48E-27,1.09E-06,0.000236099,0.00114181,0.001953927,0.002433857,0.002562158,0.002245738,0.001369493,-0.000158837,-0.002387261,-0.005320265,-0.00893055,-0.013172141,-0.017990623,-0.023329841,-0.029135747,-0.035358337,-0.041952405,-0.04887765
0.4,7.58E-17,4.60E-05,0.000720391,0.002114861,0.003987892,0.005525099,0.006413879,0.006630741,0.006186419,0.005072163,0.003276248,0.000801045,-0.002332538,-0.006088607,-0.010422154,-0.015284315,-0.020626117,-0.026400778,-0.032564924,-0.039079099
0.44,1.80E-15,0.000102491,0.001665587,0.005256946,0.009084329,0.011958465,0.013663953,0.014356286,0.014205973,0.013316652,0.011741287,0.009511265,0.006654885,0.003204706,-0.000801607,-0.005323065,-0.010317606,-0.015743953,-0.021562863,-0.027737845
0.48,9.80E-07,0.001401055,0.006248218,0.01173412,0.016736012,0.020527468,0.022933404,0.0241126,0.024282726,0.023611949,0.022209095,0.020143123,0.017462679,0.014208399,0.010418752,0.00613193,0.001385853,-0.003782469,-0.00933763,-0.015246344
0.52,0.000781154,0.008168131,0.013815952,0.01980192,0.025426623,0.029939343,0.033032558,0.034775695,0.035369856,0.035008609,0.033838488,0.031962486,0.029453976,0.026368974,0.022754079,0.018650785,0.014097453,0.009130038,0.003782248,-0.001914486
0.56,0.007406839,0.015919731,0.02258877,0.029243673,0.035454939,0.040575201,0.044262291,0.046526431,0.047542118,0.047507637,0.046589771,0.044915064,0.042577394,0.039648048,0.036183766,0.032232067,0.027834412,0.023027959,0.017846479,0.012320848
