Column,n,n_times_0.02,Vth_Linear,Vth_Cubic,Vth_Final,dVth,S(T)
Grad_0_I,0,0.0,0.43999999993728073,0.4399999999371076,0.43999999993728073,,
Grad_1_I,1,0.02,0.3186371999141384,0.31858818200598127,0.3186371999141384,-0.12136280002314231,6.068140001157116
Grad_2_I,2,0.04,0.2798411048752148,0.27981969198060236,0.2798411048752148,-0.03879609503892362,1.9398047519461807
Grad_3_I,3,0.06,0.27998188743001123,0.279978267966993,0.279978267966993,0.00013716309177819186,-0.006858154588909593
Grad_4_I,4,0.08,0.28053757008794067,0.28064468908850826,0.28064468908850826,0.0006664211215152704,-0.03332105607576352
Grad_5_I,5,0.1,0.2843204883379082,0.2851079116619049,0.2851079116619049,0.004463222573396652,-0.22316112866983262
Grad_6_I,6,0.12,0.29627162805088547,0.2982991691070288,0.2982991691070288,0.013191257445123894,-0.6595628722561947
Grad_7_I,7,0.14,0.31789548789707683,0.31831684234975965,0.31831684234975965,0.02001767324273085,-1.0008836621365425
Grad_8_I,8,0.16,0.3315131779378618,0.33335211223223976,0.33335211223223976,0.015035269882480107,-0.7517634941240053
Grad_9_I,9,0.18,0.34971489572801034,0.35130491138737174,0.35130491138737174,0.017952799155131982,-0.8976399577565991
Grad_10_I,10,0.2,0.3669599583339143,0.3681749637292211,0.3681749637292211,0.01687005234184935,-0.8435026170924675
Grad_11_I,11,0.22,0.3832001403792853,0.38509724524151484,0.38509724524151484,0.016922281512293746,-0.8461140756146873
Grad_12_I,12,0.24,0.4018154152477292,0.40210447401400395,0.40210447401400395,0.017007228772489114,-0.8503614386244557
Grad_13_I,13,0.26,0.4164987754558428,0.4180132898953251,0.4180132898953251,0.015908815881321148,-0.7954407940660574
Grad_14_I,14,0.28,0.43380825704908105,0.43456053381370924,0.43456053381370924,0.016547243918384136,-0.8273621959192068
Grad_15_I,15,0.3,0.4498101003079161,0.4506720541801195,0.4506720541801195,0.01611152036641028,-0.8055760183205141
Grad_16_I,16,0.32,0.4660292728426647,0.4670281540688409,0.4670281540688409,0.016356099888721387,-0.8178049944360694
Grad_17_I,17,0.34,0.48325679787760395,0.483537156033444,0.483537156033444,0.016509001964603087,-0.8254500982301544
Grad_18_I,18,0.36,0.4991191173729422,0.5000169370325754,0.5000169370325754,0.016479780999131444,-0.8239890499565722
Grad_19_I,19,0.38,0.5164365446858867,0.5167142967607584,0.5167142967607584,0.01669735972818298,-0.834867986409149
