Column,n,n_times_0.02,Vth_Linear,Vth_Cubic,Vth_Final,dVth,S(T)
Grad_0_I,0,0,0.479949755,0.479943787,0.479949755,,
Grad_1_I,1,0.02,0.319053343,0.319021617,0.319053343,-0.160896411,8.044820572
Grad_2_I,2,0.04,0.27994008,0.27993305,0.27994008,-0.039113263,1.955663174
Grad_3_I,3,0.06,0.280096112,0.280117769,0.280117769,0.000177689,-0.008884446
Grad_4_I,4,0.08,0.281407305,0.281739769,0.281739769,0.001622001,-0.081100028
Grad_5_I,5,0.1,0.287647312,0.289078586,0.289078586,0.007338817,-0.366940853
Grad_6_I,6,0.12,0.302838001,0.304910805,0.304910805,0.015832219,-0.79161093
Grad_7_I,7,0.14,0.323298413,0.323928349,0.323928349,0.019017544,-0.950877177
Grad_8_I,8,0.16,0.340817579,0.34271955,0.34271955,0.018791202,-0.93956008
Grad_9_I,9,0.18,0.361214582,0.361451769,0.361451769,0.018732219,-0.936610949
Grad_10_I,10,0.2,0.376860649,0.378594004,0.378594004,0.017142235,-0.857111767
Grad_11_I,11,0.22,0.394765532,0.395463777,0.395463777,0.016869773,-0.843488633
Grad_12_I,12,0.24,0.410381343,0.411155492,0.411155492,0.015691715,-0.784585729
Grad_13_I,13,0.26,0.4262064,0.427003584,0.427003584,0.015848092,-0.792404621
Grad_14_I,14,0.28,0.442857688,0.442989526,0.442989526,0.015985942,-0.799297083
Grad_15_I,15,0.3,0.458587751,0.459037184,0.459037184,0.016047658,-0.80238292
Grad_16_I,16,0.32,0.475263441,0.475433926,0.475433926,0.016396742,-0.819837083
Grad_17_I,17,0.34,0.491717226,0.491976971,0.491976971,0.016543045,-0.827152243
Grad_18_I,18,0.36,0.508468649,0.508716176,0.508716176,0.016739205,-0.836960272
Grad_19_I,19,0.38,0.525379532,0.525610297,0.525610297,0.016894121,-0.844706028
