Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,-2.1820526843254234e-38,-3.085033945112517e-37,-3.554774503274597e-36,-3.7256719903329454e-35,-3.4016901471997035e-34,-2.6472445453101292e-33,-1.5043015024271332e-32,-4.1605331392303815e-32,-5.68166540576885e-32,-6.055120579335334e-32,-6.152968676522759e-32,-6.315194194257048e-32,-7.117422949844503e-32,-1.1113221194833437e-31,-2.965384492463449e-31,-1.0992133077906415e-30,-4.35573198198124e-30,-1.6787937122075734e-29,-6.161091386226546e-29,-2.146729857860118e-28
0.04,3.372196515054011e-33,2.9405465136943712e-34,2.1508449581747922e-35,1.295873936872571e-36,6.260941548895383e-38,2.080253596444355e-40,-1.551868204064877e-38,-8.494813361662534e-38,-2.4750291932376328e-37,-3.5966413743239227e-37,-3.915514044678377e-37,-3.998048761952112e-37,-4.092747413161057e-37,-4.504773221481183e-37,-6.439489643073716e-37,-1.4968680621457712e-36,-5.019019617283359e-36,-1.8696208769704962e-35,-6.88300828476802e-35,-2.4289359681550265e-34
0.08,6.491602913879526e-30,5.984946313297465e-30,3.529768439553914e-30,6.674647033190422e-31,5.99951326154119e-32,4.033764220125485e-33,2.1396868787674497e-34,8.594964235209456e-36,2.2908269800662856e-37,2.8944587557623896e-39,-1.994282183542342e-42,-2.4203290702992784e-42,-2.4965400372762858e-42,-2.548626681809689e-42,-2.7274388887752178e-42,-3.514803696104292e-42,-6.820684686278419e-42,-1.9876744803878298e-41,-6.851956182524375e-41,-2.4008686469731567e-40
0.12,4.9414389797946634e-29,2.4838423958242226e-29,2.1845794556816958e-29,2.153216799591204e-29,2.1497344195297452e-29,2.1431839198045137e-29,2.078860282327406e-29,1.500819567601237e-29,2.699547941298174e-30,1.3479489687540435e-31,3.2398648989172335e-33,3.1547163203570576e-35,1.4279959638337655e-37,3.710164780752378e-40,5.613471077781895e-43,4.486506945421694e-46,-5.3227985332718176e-48,-1.7647506548839684e-47,-6.339553314566017e-47,-2.272899972039532e-46
0.16,3.899215883117455e-24,7.206302314655523e-25,1.1624603747211002e-25,1.6382819378423088e-26,2.0387026962523433e-27,2.7082548570560403e-28,8.71720988683685e-29,7.142896827798371e-29,7.03426936814272e-29,7.028285552665728e-29,7.026401314110615e-29,6.992470651035085e-29,5.758046566025998e-29,3.2400561916444804e-30,2.0563596861965065e-32,7.528846099070663e-35,1.5557365451407958e-37,1.586787921188177e-40,6.608913811253405e-44,2.8068777265596135e-48
0.2,5.813510257647507e-22,5.794627904162256e-22,5.725444207926802e-22,5.431789884633991e-22,4.307065608655948e-22,1.9607492206654352e-22,4.235161634104395e-23,5.9358197761111334e-24,6.541016577783576e-25,5.809094988440326e-26,4.243106683749705e-27,4.397956678056546e-28,2.3752812632147577e-28,2.2979908336977423e-28,2.2959869651331333e-28,2.2958995917598315e-28,2.291272089036752e-28,1.8027550427781815e-28,3.4979247300049426e-30,7.223756008663598e-33
0.24,3.188318263920619e-20,9.35552871265097e-21,3.567998678852312e-21,2.2228858032689495e-21,1.943213767156809e-21,1.8918566090177086e-21,1.883629167584771e-21,1.8824068866146616e-21,1.8818049358288594e-21,1.8792647676287906e-21,1.8635304419927067e-21,1.7523264776895085e-21,1.1212189584166537e-21,2.0787146340727018e-22,1.4345797448954203e-23,6.175558068905895e-25,1.7532972395481668e-26,1.0118621238712975e-27,7.517058897800129e-28,7.496643690796511e-28
0.28,2.699793301632248e-15,1.1803547467015577e-15,4.4388231731327135e-16,1.4864308143459202e-16,4.4957907500632434e-17,1.2281336583511237e-17,3.008187037252106e-18,6.552695503019569e-19,1.28202697525368e-19,2.5676074340282378e-20,8.701849081418521e-21,6.36725707158195e-21,6.108205245686244e-21,6.085827194324133e-21,6.084386099540342e-21,6.0843158283764185e-21,6.084280354827272e-21,6.0839756591630076e-21,6.080033134285001e-21,6.0009797825394e-21
0.32,3.949878563031013e-14,3.935784059046434e-14,3.9300769190146977e-14,3.926761249929015e-14,3.9226733407478e-14,3.914578227581808e-14,3.8959168049209204e-14,3.849636541134338e-14,3.728553235368206e-14,3.407789327926084e-14,2.650811739328687e-14,1.4476509750483336e-14,4.90367554347316e-15,1.1273332691556578e-15,1.965291257942181e-16,2.6544167559519596e-17,2.6977299360134196e-18,2.0956188987712765e-19,2.8308884979329906e-20,1.9869308074499355e-20
0.36,1.8125370298475922e-11,9.46991681153293e-12,4.754089818904735e-12,2.301368026710592e-12,1.090013433541552e-12,5.253706187081837e-13,2.7872719903988187e-13,1.7860033126381196e-13,1.411913421460387e-13,1.2847597210339815e-13,1.245977185044691e-13,1.2355362779653285e-13,1.2331038208547645e-13,1.2326242986240517e-13,1.2325447543206274e-13,1.232529818595631e-13,1.2325172887607812e-13,1.2324881014816285e-13,1.232404571716469e-13,1.2321216975159726e-13
