Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0,0.015690416,0.014382234,0.013098258,0.011841199,0.010614007,0.00941988,0.008262263,0.007144872,0.00607173,0.005047286,0.004076702,0.003166516,0.002326057,0.001570166,0.000923603,0.000425057,0.0001192,9.80E-06,7.56E-09,-5.09E-09,-1.77E-08,-2.15E-05,-0.000271474,-0.001084943,-0.002728417,-0.005327958,-0.008874931,-0.013284272,-0.018444038,-0.024242408,-0.030578998,-0.037368041,-0.044537976,-0.052029722,-0.059794669,-0.067792794,-0.075991049,-0.084362029,-0.092882893
0.02,0.017160011,0.01582825,0.014514663,0.013221053,0.011949368,0.010701709,0.009480365,0.00828789,0.007127242,0.00600209,0.004917398,0.003880542,0.002903345,0.002005482,0.001219294,0.000593603,0.000186225,1.98E-05,2.82E-08,9.91E-09,-8.44E-09,-1.52E-05,-0.000214798,-0.000886813,-0.002270031,-0.004512165,-0.007647428,-0.011627551,-0.016364648,-0.021760316,-0.027720523,-0.034161623,-0.041011818,-0.048210579,-0.055707294,-0.063459763,-0.071432783,-0.079596914,-0.08792745
0.04,0.018469228,0.017112696,0.015769366,0.014440402,0.013127067,0.011830751,0.010553036,0.009295821,0.008061543,0.006853589,0.005677025,0.004539863,0.003455163,0.002444316,0.001541512,0.000798002,0.000279943,3.73E-05,9.57E-08,4.66E-08,-2.50E-09,-1.01E-05,-0.000167769,-0.000728511,-0.001902037,-0.003839778,-0.006607365,-0.010190339,-0.014525956,-0.019531512,-0.025121571,-0.031216446,-0.037745497,-0.044647762,-0.051871356,-0.059372416,-0.06711394,-0.075064708,-0.08319832
0.06,0.019668935,0.018288554,0.016917442,0.01555634,0.014206072,0.012867593,0.011542073,0.010231051,0.008936685,0.007662187,0.006412543,0.005195673,0.004024279,0.002918649,0.001910728,0.001049631,0.000406823,6.39E-05,2.11E-07,1.05E-07,-5.38E-10,-6.02E-06,-0.000127568,-0.000597126,-0.00160119,-0.003282398,-0.005725592,-0.008945181,-0.012903243,-0.017534263,-0.022763263,-0.028516199,-0.03472494,-0.041329118,-0.048276335,-0.055521615,-0.063026557,-0.070758441,-0.078689378
0.08,0.020799578,0.019397594,0.018001875,0.016612888,0.015231182,0.013857444,0.012492585,0.011137896,0.009795277,0.008467628,0.007159443,0.005877745,0.004633526,0.003444014,0.002336408,0.001354564,0.000571163,0.000100949,3.76E-07,1.88E-07,-1.02E-10,-3.21E-06,-9.33E-05,-0.000484706,-0.001349723,-0.00281601,-0.004976051,-0.007866664,-0.011473067,-0.015747585,-0.020627121,-0.026044743,-0.031936101,-0.038242431,-0.044911592,-0.051898073,-0.059162502,-0.066670971,-0.074394329
0.1,0.021891834,0.020471144,0.019054475,0.017642114,0.016234427,0.014831909,0.013435261,0.012045516,0.01066423,0.009293763,0.007937715,0.006601576,0.005293739,0.004027206,0.002822783,0.001716,0.000774658,0.000148079,6.21E-07,3.10E-07,-1.86E-11,-1.55E-06,-6.52E-05,-0.000387048,-0.00113482,-0.002420867,-0.004335814,-0.006931513,-0.010213382,-0.014151369,-0.018695178,-0.023786209,-0.029365043,-0.035375487,-0.041766425,-0.048492402,-0.055513519,-0.062795018,-0.070306733
0.12,0.022967935,0.02153159,0.020097603,0.018666131,0.017237396,0.01581172,0.014389582,0.012971708,0.011559184,0.010153638,0.008757487,0.007374297,0.006009367,0.004670752,0.003371426,0.002134982,0.001016808,0.000205073,1.01E-06,5.05E-07,-3.33E-12,-7.01E-07,-4.33E-05,-0.000302434,-0.000947925,-0.002081315,-0.003785106,-0.006118675,-0.009103639,-0.012726476,-0.016950074,-0.021725083,-0.026998011,-0.032716139,-0.038830121,-0.045295149,-0.052071259,-0.059123193,-0.066420035
0.14,0.024043283,0.022594178,0.021146192,0.019699372,0.018253803,0.016809626,0.015367072,0.013926496,0.012488431,0.011053646,0.009623212,0.008198583,0.006781679,0.005375029,0.003982223,0.002610705,0.001295811,0.000273387,1.69E-06,8.46E-07,-5.86E-13,-3.04E-07,-2.75E-05,-0.000230444,-0.000783862,-0.001785514,-0.003307291,-0.005409383,-0.00812487,-0.011454831,-0.01537514,-0.019846277,-0.024821498,-0.030252364,-0.036092008,-0.042296849,-0.048827321,-0.055648027,-0.062727583
0.16,0.025128071,0.0236688,0.022209705,0.020750732,0.019291823,0.01783293,0.016374006,0.014915002,0.013455848,0.011996397,0.010536316,0.009074848,0.007610328,0.006139158,0.004653778,0.003140925,0.001609623,0.000356068,2.97E-06,1.48E-06,-1.02E-13,-1.29E-07,-1.68E-05,-0.000170969,-0.000639853,-0.00152499,-0.002888797,-0.004787208,-0.007259767,-0.010319495,-0.013954469,-0.018135202,-0.022822305,-0.027972316,-0.033541497,-0.039488055,-0.045773279,-0.052362001,-0.059222657
0.18,0.026228725,0.024761537,0.023293796,0.021825341,0.020355975,0.018885448,0.017413426,0.015939446,0.01446282,0.012982477,0.011496659,0.010002342,0.008494056,0.006961383,0.005383684,0.003722478,0.00195707,0.000457174,5.37E-06,2.69E-06,-1.76E-14,-5.37E-08,-9.91E-06,-0.000123559,-0.000514538,-0.001294044,-0.002518943,-0.004238072,-0.006492746,-0.009304743,-0.012672984,-0.016577825,-0.020987596,-0.025864371,-0.031168125,-0.036859377,-0.042900718,-0.049257572,-0.055898491
