Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,-1.6470230858139467e-109,-5.443387956635336e-08,-6.640016581226507e-05,-0.0008145389015937894,-0.0029783902744460623,-0.006686616201118455,-0.01174434736667998,-0.01789609561945082,-0.02491277980269439,-0.03260911280943782,-0.04084054493589381,-0.0494956303238008,-0.05848854114767282,-0.06775291117796456,-0.07723708442665997,-0.08690054191356233,-0.09671123947653672,-0.1066436265484893,-0.11667716680290441,-0.12679522726516831
0.04,4.781723981205239e-94,-2.89255378409705e-09,-1.8720787115937265e-05,-0.0003838042024349231,-0.0017686322454149922,-0.004505972965528084,-0.008557045535605509,-0.013742603112303612,-0.019864658208578103,-0.02674712154440945,-0.034244433824040854,-0.04223966587998841,-0.05063986481352266,-0.059371280347686683,-0.06837525710013803,-0.07760492654940618,-0.08702261923885442,-0.09659786564867531,-0.10630585809690475,-0.11612626678206439
0.08,4.370738644053364e-87,-1.0195653247054852e-10,-3.9459765358937046e-06,-0.00015406119125492118,-0.0009578603930469724,-0.0028692543774940103,-0.0060082202644622055,-0.010287984446884816,-0.01555279424247983,-0.021642567323614283,-0.028415240628825264,-0.03575162975917436,-0.04355405577403651,-0.05174318156406825,-0.0602546934202425,-0.06903636651142445,-0.07804563581666321,-0.08724764464053072,-0.09661369808115852,-0.10612004417120113
0.12,5.36165496540989e-82,-3.3113555757238158e-12,-7.337490168439282e-07,-5.516774528653386e-05,-0.00047809377688882505,-0.001727824566465605,-0.004058601583672827,-0.007492857727256359,-0.01193403482133132,-0.01724851272115957,-0.023303606763823037,-0.029981288131822336,-0.037181281179191734,-0.04482009283107824,-0.052828765190608,-0.06115045877153031,-0.06973826364938501,-0.07855334692804763,-0.08756343291827308,-0.0967415747886702
0.16,4.060150197622054e-66,-1.0181329410675769e-13,-1.2964300212051942e-07,-1.845789130179665e-05,-0.00022411689148054472,-0.0009902091336300954,-0.0026415001350301,-0.005307509409018443,-0.008966902675048724,-0.013526440013354228,-0.018871612371086536,-0.024890621038407536,-0.031483489589263745,-0.038564270648686706,-0.04606041186483433,-0.05391114202215477,-0.06206567217558678,-0.07048152273652199,-0.0791230759862428,-0.0879603655615564
0.2,1.6095936143994426e-62,-2.9949793941727477e-15,-2.2283751308210004e-08,-5.939431169482083e-06,-0.0001005374210835787,-0.0005450399753019728,-0.0016627199913850708,-0.003661037076035558,-0.006598215113904891,-0.010434059288624061,-0.015082934265944594,-0.020446361789219766,-0.026428966893805597,-0.032944882260894724,-0.0399194540235786,-0.04728887391518397,-0.0549990248855151,-0.06300413086704236,-0.0712654619453365,-0.07975018733460716
0.24,3.9210479280216754e-54,-8.254639749870203e-17,-3.758719949338849e-09,-1.8658819918497661e-06,-4.3777089367534685e-05,-0.0002908486638915778,-0.0010173816887595786,-0.002465108400126459,-0.004759512336805825,-0.007918920495324984,-0.011896103272381131,-0.016613977025624577,-0.02198737847000265,-0.027934107828451793,-0.034379620307684926,-0.04125841348074555,-0.0485138566244675,-0.05609737394956955,-0.06396742929453848,-0.07208851798220998
0.28,4.689395141254817e-40,6.713987574516423e-09,3.5326147709034795e-08,-5.315943343655936e-07,-1.8630153703240114e-05,-0.0001516202994367795,-0.000608301025395823,-0.0016252338742641019,-0.003370919354935468,-0.005917573930096044,-0.00926140360943761,-0.013353833833019142,-0.018126005367025667,-0.023503800011436104,-0.029415742436579847,-0.035796544799455286,-0.04258826827566275,-0.049740290620830824,-0.057208737343749046,-0.0649557193613516
0.32,1.7167014116272815e-38,2.5225040681212314e-08,2.358455255615427e-05,0.00022087736464556452,0.000510069886499361,0.0006414429890270011,0.0004571175323200401,-0.00020182687929627647,-0.0014862317335813577,-0.0034922718196368427,-0.0062512189801582135,-0.009744703429881096,-0.013924981599943898,-0.018730890658829304,-0.02409798317482783,-0.029964117230054432,-0.03627211904482772,-0.042970750092128064,-0.05001476964198657,-0.05736455790782356
0.36,5.480311392347203e-27,1.0924793752161257e-06,0.00023609944721523807,0.0011418104864914466,0.001953927163859189,0.0024338573836217314,0.002562157634357389,0.002245738353778432,0.0013694930292921632,-0.00015883695519805247,-0.002387261121574931,-0.005320265440834081,-0.008930550483833571,-0.013172140556553998,-0.017990622599978336,-0.023329840575558508,-0.02913574716371394,-0.03535833650993656,-0.04195240512606297,-0.048877650343582324
