Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,0.015690415750086686,0.01438223420399268,0.01309825796287225,0.011841198869778446,0.010614007497212953,0.00941987966183014,0.0082622631240155,0.007144872229183322,0.0060717303528572495,0.005047285991094903,0.004076701581430036,0.003166516420550658,0.0023260574814174886,0.0015701664219023885,0.0009236031759072933,0.00042505699366638934,0.00011920042690818816,9.796974835563425e-06,7.55936213453043e-09,-2.9516331776329344e-109,-2.9516331776329344e-109,-1.7729448391000467e-08,-2.146583025714557e-05,-0.0002714735523273216,-0.0010849432292814858,-0.0027284174204048866,-0.005327958355688172,-0.008874930526982275,-0.013284271704111839,-0.018444038330487397,-0.02424240812239869,-0.03057899770378848,-0.03736804078817936,-0.04453797605595928,-0.0520297224982054,-0.05979466906185262,-0.06779279382267506,-0.0759910489301393,-0.08436202871856964,-0.09288289313139002
0.02,0.01716001077631109,0.015828250420460085,0.014514662623700412,0.013221053448081766,0.011949368441146524,0.010701708864732441,0.00948036545225473,0.008287889719118879,0.007127241922293451,0.006002090129207004,0.004917397929060648,0.0038805423603802992,0.0029033452292037513,0.002005481667598284,0.0012192943486377655,0.0005936027099644426,0.00018622540167921364,1.980567513783391e-05,2.824862594503042e-08,1.3482684398662381e-101,1.3482684398662381e-101,-8.435130279985833e-09,-1.5199430997908984e-05,-0.00021479817625918662,-0.0008868127886331655,-0.0022700311432019716,-0.004512165267958997,-0.007647428154932389,-0.011627551350004171,-0.01636464750164897,-0.021760315784709907,-0.027720523089949836,-0.034161622892930586,-0.04101181836096152,-0.04821057904194522,-0.0557072940423583,-0.0634597633251163,-0.07143278288269532,-0.07959691380151553,-0.08792745037422603
0.04,0.018469228051766623,0.01711269642051045,0.015769365867095285,0.014440402362395308,0.013127067356078381,0.01183075097303107,0.010553036282733474,0.009295820927780836,0.008061542554294046,0.006853588544929659,0.005677025411375597,0.004539863340256595,0.0034551631108056674,0.002444315923139603,0.0015415119325887885,0.0007980017157604355,0.00027994284720710556,3.7262122494038536e-05,9.565268555716845e-08,5.183305054411796e-94,5.183305054411796e-94,-2.5033380972753787e-09,-1.0057158988089304e-05,-0.00016776863905014263,-0.0007285105316503985,-0.0019020367009804555,-0.003839778269271701,-0.006607365392497729,-0.010190339098437253,-0.014525955689761078,-0.0195315122173596,-0.02512157141653616,-0.031216445792261974,-0.03774549688140131,-0.04464776163141668,-0.051871356172642706,-0.05937241584606031,-0.06711394036265762,-0.07506470802494099,-0.08319832039649575
0.06,0.01966893527149336,0.018288553882504097,0.016917442191048036,0.015556340427622092,0.01420607224949233,0.0128675926105603,0.01154207308393462,0.010231050888033773,0.008936684766722325,0.007662187305931367,0.006412542654513742,0.005195672702104741,0.0040242792311549775,0.0029186485865050184,0.0019107284595431553,0.001049630930761053,0.00040682274132574595,6.393484279350445e-05,2.1132659952110814e-07,5.9333321695625786e-89,5.9333321695625786e-89,-5.376265217173421e-10,-6.0152970877074436e-06,-0.0001275675195379496,-0.0005971257948366105,-0.0016011896405013087,-0.0032823983374319727,-0.0057255921113413275,-0.008945180976027225,-0.012903243074902506,-0.017534262893922327,-0.02276326331766737,-0.02851619852172985,-0.034724939518373174,-0.041329117802452874,-0.04827633539460129,-0.055521614782515216,-0.06302655671800128,-0.07075844088772316,-0.07868937813840635
0.08,0.020799577663016072,0.019397593843562707,0.018001874826813057,0.01661288775410687,0.01523118204506295,0.013857443638131631,0.012492585430073894,0.011137895516288649,0.009795276619842598,0.00846762753424284,0.007159442832311908,0.005877744973416754,0.004633526464844636,0.003444014072937895,0.002336407754293772,0.0013545635676662214,0.0005711627807007605,0.00010094930292829845,3.764033855826976e-07,3.4949377466880896e-88,3.4949377466880896e-88,-1.0205703573067814e-10,-3.2117461351916745e-06,-9.332522226674322e-05,-0.00048470645213605673,-0.001349723040628749,-0.0028160104350086913,-0.004976050822926896,-0.00786666377166886,-0.011473067224239353,-0.01574758533413438,-0.020627120939450988,-0.026044742889020128,-0.031936100758685644,-0.038242430576394704,-0.04491159242902361,-0.051898073458994845,-0.059162501878415284,-0.06667097108939044,-0.07439432865436142
0.1,0.02189183387913128,0.02047114435832719,0.019054474922446683,0.017642113930546058,0.01623442724004856,0.014831908841916123,0.013435260634791698,0.012045516126581012,0.01066422967423189,0.009293762834499838,0.007937715107960928,0.006601575585779459,0.005293738938640985,0.0040272061425452674,0.002822782723046432,0.0017160002614646538,0.0007746584221909217,0.0001480794869776434,6.206381199552688e-07,2.0786988811571696e-87,2.0786988811571696e-87,-1.860988464933823e-11,-1.5529583282471977e-06,-6.516158628021752e-05,-0.00038704788074496704,-0.0011348204419127379,-0.0024208667231387466,-0.004335814190411856,-0.006931513321633574,-0.010213382452886544,-0.014151368896313776,-0.018695177873494447,-0.023786209496391642,-0.029365043187619278,-0.03537548653386408,-0.04176642512613274,-0.04849240158491106,-0.055513518619471805,-0.06279501807913106,-0.07030673318681117
0.12,0.022967935314455536,0.021531590131779733,0.020097602540876836,0.01866613098480436,0.017237396182027062,0.015811719853464856,0.014389582430182384,0.012971707517374016,0.011559183679051396,0.010153638332631276,0.008757486559459265,0.007374296779631349,0.0060093669753268466,0.004670751661358111,0.003371426258856409,0.0021349818021385108,0.001016808472030918,0.00020507260209477954,1.0100848698379262e-06,1.995205954245329e-82,1.995205954245329e-82,-3.3276691972675123e-12,-7.008781618032804e-07,-4.330288854975772e-05,-0.00030243366729379163,-0.0009479249793914613,-0.0020813152766122295,-0.003785106242341678,-0.00611867537436147,-0.009103639121943684,-0.0127264761456691,-0.016950074373012554,-0.021725082897975746,-0.026998011345868374,-0.03271613865327547,-0.038830121314189864,-0.04529514941541701,-0.05207125935379257,-0.05912319268785692,-0.06642003469512146
0.14,0.024043283208350207,0.02259417846467167,0.02114619192236227,0.019699371841176438,0.018253802526493685,0.01680962602646153,0.015367071849075056,0.013926496164521077,0.012488431375389726,0.011053645832566183,0.00962321218455309,0.00819858295548737,0.006781678639727133,0.005375028875240518,0.003982223374792229,0.002610705464095462,0.0012958114466158593,0.0002733870874799603,1.692929050696173e-06,3.3139592554847777e-74,3.3139592554847777e-74,-5.864246623263743e-13,-3.0361778194566206e-07,-2.7469700138867723e-05,-0.00023044356123258535,-0.0007838624773059027,-0.0017855143834199353,-0.003307290947941118,-0.005409383482269623,-0.008124869924364309,-0.011454830602631241,-0.01537514038274921,-0.01984627698307813,-0.02482149825282633,-0.030252363871118425,-0.036092007953832994,-0.04229684938071981,-0.04882732122022596,-0.055648026639675954,-0.0627275826664331
0.16,0.02512807124308565,0.02366879964569705,0.02220970532331644,0.020750731536032338,0.019291823320290915,0.01783293008640156,0.016374005746869435,0.014915002212089723,0.013455848112868336,0.0119963971219707,0.010536315519064875,0.009074847610154448,0.0076103279870289205,0.00613915765955074,0.004653777783214139,0.003140925402102101,0.0016096227457495483,0.0003560683235406077,2.9686427357805984e-06,-9.193621843276836e-68,-9.193621843276836e-68,-1.0205151021382211e-13,-1.285413048149261e-07,-1.675483872034584e-05,-0.00017096888867547362,-0.0006398525806745638,-0.0015249903116462487,-0.0028887965540104373,-0.004787208165753581,-0.0072597666856084675,-0.010319495070927007,-0.013954469175505756,-0.018135202067494683,-0.02282230523970838,-0.02797231554764614,-0.033541496556283225,-0.039488055046235974,-0.045773279304381714,-0.05236200077889758,-0.05922265706085138
0.18,0.026228725152331447,0.024761536713625645,0.02329379561423274,0.0218253409391998,0.02035597518688103,0.018885447741967962,0.0174134261690094,0.015939445745465665,0.014462819677525706,0.012982476665727114,0.011496659310341896,0.010002342475562502,0.008494055576332708,0.006961382772711081,0.005383684337026206,0.00372247773579458,0.001957069642506133,0.0004571739515794169,5.370878862981048e-06,-1.5300992844564065e-67,-1.5300992844564065e-67,-1.7563901543236918e-14,-5.3704439380083655e-08,-9.913920609608284e-06,-0.00012355897119285537,-0.000514538480358206,-0.0012940443991260834,-0.00251894291888402,-0.004238072175893147,-0.006492746196170457,-0.00930474313745833,-0.012672984183424829,-0.016577825378984876,-0.020987595990553207,-0.025864371228365438,-0.031168124971157694,-0.036859377365838566,-0.04290071788983507,-0.04925757189181744,-0.05589849127139229
