Column,n,n_times_0.02,Vth_Linear,Vth_Cubic,Vth_Final,dVth,S(T)
,-1,,,,0,,
Grad_0_I,0,0,0.44,0.44,0.44,,
Grad_1_I,1,0.02,0.3186372,0.318588182,0.3186372,-0.1213628,6.068140001
Grad_2_I,2,0.04,0.279841105,0.279819692,0.279841105,-0.038796095,1.939804752
Grad_3_I,3,0.06,0.279981887,0.279978268,0.279978268,0.000137163,-0.006858155
Grad_4_I,4,0.08,0.28053757,0.280644689,0.280644689,0.000666421,-0.033321056
Grad_5_I,5,0.1,0.284320488,0.285107912,0.285107912,0.004463223,-0.223161129
Grad_6_I,6,0.12,0.296271628,0.298299169,0.298299169,0.013191257,-0.659562872
Grad_7_I,7,0.14,0.317895488,0.318316842,0.318316842,0.020017673,-1.000883662
Grad_8_I,8,0.16,0.331513178,0.333352112,0.333352112,0.01503527,-0.751763494
Grad_9_I,9,0.18,0.349714896,0.351304911,0.351304911,0.017952799,-0.897639958
Grad_10_I,10,0.2,0.366959958,0.368174964,0.368174964,0.016870052,-0.843502617
Grad_11_I,11,0.22,0.38320014,0.385097245,0.385097245,0.016922282,-0.846114076
Grad_12_I,12,0.24,0.401815415,0.402104474,0.402104474,0.017007229,-0.850361439
Grad_13_I,13,0.26,0.416498775,0.41801329,0.41801329,0.015908816,-0.795440794
Grad_14_I,14,0.28,0.433808257,0.434560534,0.434560534,0.016547244,-0.827362196
Grad_15_I,15,0.3,0.4498101,0.450672054,0.450672054,0.01611152,-0.805576018
Grad_16_I,16,0.32,0.466029273,0.467028154,0.467028154,0.0163561,-0.817804994
Grad_17_I,17,0.34,0.483256798,0.483537156,0.483537156,0.016509002,-0.825450098
Grad_18_I,18,0.36,0.499119117,0.500016937,0.500016937,0.016479781,-0.82398905
Grad_19_I,19,0.38,0.516436545,0.516714297,0.516714297,0.01669736,-0.834867986
