Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,0.016596115501730027,0.015239021012123884,0.013906591036031929,0.01260206050858179,0.011329001720443325,0.010091329839016203,0.008893290894770466,0.007739422581142651,0.006634476349298202,0.005583291683952574,0.00459063026611704,0.0036610359562252934,0.0027989535154872925,0.002009764946905121,0.0013033252758842496,0.0007027742966903914,0.0002582871491089731,3.5958066239014846e-05,1.3131582372296682e-07,-7.557199567905275e-89,-7.557199567905275e-89,-2.4000191743580607e-07,-8.059413411015674e-05,-0.0006625083764214046,-0.0022050047815018025,-0.004923385064000225,-0.008787111732891593,-0.013647832769470462,-0.01933384540523183,-0.025689740284162373,-0.03258687018106166,-0.039922495366662016,-0.047615614605829575,-0.055602484393343976,-0.06383276011634186,-0.07226642616336211,-0.08087143293429096,-0.08962190142356383,-0.09849676327313907,-0.1074787284980663
0.02,0.018370177630329523,0.017002749305001143,0.015653906716551313,0.014325735063685646,0.013020461320684532,0.011740434335799129,0.0104880927192641,0.009265920728024934,0.008076399794156901,0.0069219827762534245,0.005805164979888644,0.004728834032172856,0.0036973168245176807,0.0027190139654669817,0.001812262530440169,0.0010163298269160862,0.0004044597899247627,6.948518752803766e-05,4.576896244448865e-07,6.05611884427082e-81,6.05611884427082e-81,-1.2157387855471127e-07,-5.7117156546633406e-05,-0.0005131644321266142,-0.0017610595853044207,-0.00404106676469356,-0.007396850522510713,-0.01173908266105154,-0.016929051772677412,-0.022826038776160053,-0.02930583168176197,-0.03626501425745754,-0.04361963917431665,-0.051302211960347045,-0.05925854682874018,-0.06744502033498817,-0.07582633381373641,-0.08437374629401169,-0.09306369787331523,-0.10187674220470064
0.04,0.019920181322522237,0.01853708140317281,0.01716728804879677,0.015812014935901557,0.0144724998992209,0.01314998184844306,0.011845676053846937,0.010560757078414869,0.009296371883516695,0.008053733393318826,0.006834401434808495,0.005640969831428217,0.0044785875058943325,0.003358089148979603,0.002301929827126044,0.001354025401228719,0.0005917957123063105,0.0001251062335293932,1.2163562381865404e-06,1.0901344469945315e-72,1.0901344469945315e-72,-4.170731222216969e-08,-3.84799593710031e-05,-0.0003976116839505564,-0.0014192377291912263,-0.0033369237532120057,-0.006244838438732745,-0.010108296273880447,-0.014825043024495338,-0.020273819276690922,-0.026338843106574337,-0.03291892216476387,-0.03992914881600315,-0.0472996003274633,-0.05497311787996695,-0.06290303410043799,-0.07105116354293164,-0.0793861324067021,-0.08788203053522084,-0.09651733859739432
0.06,0.021308855660430795,0.01990795129799376,0.018516019080525303,0.017133662531444226,0.015761453111255222,0.01439991631384073,0.013049526326379207,0.011710723718807648,0.010383984890453963,0.00906999849023045,0.007770051973384096,0.006486814852800577,0.00522584078322721,0.003998306844916956,0.002825747370392137,0.0017478402580641166,0.0008351110859449766,0.00020845538080248988,2.740381251488214e-06,9.759774848613454e-68,9.759774848613454e-68,-9.456193486133476e-09,-2.3789202898139014e-05,-0.0003034701706794815,-0.001148459252419125,-0.002770393634046684,-0.005289805297794001,-0.008717797109026603,-0.012989111674025736,-0.018005337718919566,-0.02366259060251705,-0.02986466916174082,-0.036527719636342305,-0.04358079696273594,-0.05096473022129795,-0.058630457062081344,-0.06653733967592013,-0.07465165956046464,-0.08294534499516865,-0.09139492482504288
0.08,0.022588078379737343,0.021169592765954016,0.019756708017489563,0.018349635161916816,0.016948536394811097,0.015553522930152719,0.014164667174450227,0.012782043905972502,0.011405826382803392,0.01003648195187695,0.008675141532982975,0.007324262608878475,0.005988770626716581,0.004677962180128024,0.00340867156487168,0.002211012445833204,0.0011413971658358996,0.0003210706048340382,5.274748764047127e-06,5.927528713606701e-67,5.927528713606701e-67,-1.8025982124223993e-09,-1.3214940137793648e-05,-0.0002249647192974185,-0.0009270802590092547,-0.0023084685454854027,-0.004495441729016951,-0.007532867920417604,-0.011390181367820383,-0.015993653508114263,-0.021254065905594328,-0.027082720005803605,-0.033398778500577056,-0.04013171308868148,-0.04722136366885591,-0.054616988082973494,-0.06227599122473781,-0.07016265001849369,-0.07824696302604651,-0.08650366365535242
0.1,0.02379871370547635,0.02236436999843503,0.020933133851713304,0.019504984075813792,0.018079852249456622,0.01665762804512149,0.015238178845936833,0.013821394531078068,0.01240727452284364,0.010996082893341709,0.00958860850790477,0.008186580123803081,0.006793302193179551,0.005414615952319092,0.004060467550175819,0.0027482042105815663,0.0015130224785597649,0.0004634539761543262,9.303787569051013e-06,3.616806883719208e-66,3.616806883719208e-66,-3.2580553078092206e-10,-6.634825298493505e-06,-0.00016027243917846588,-0.0007413591259434408,-0.001925356623243097,-0.0038305059451048426,-0.006521992632917052,-0.009999068305384107,-0.014212866724044725,-0.019090766193381,-0.02455371654224907,-0.030525732702560156,-0.03693812644662018,-0.04373080221783359,-0.05085209975076857,-0.058258009967663386,-0.06591118955686945,-0.07377997746916104,-0.0818375002190725
0.12,0.024971474270013082,0.02352376870640547,0.022077408628459628,0.02063224426826868,0.01918808308898381,0.01774469551808785,0.016301830147560724,0.014859243428638275,0.013416749985996158,0.011974299476679842,0.010532082150111683,0.009090653899786628,0.007651047355017718,0.006214796427847255,0.004783768539511291,0.0033598946227738095,0.0019487578166149,0.0006347778864967815,1.5407463736734384e-05,3.640726037220874e-60,3.640726037220874e-60,-5.7717155399876066e-11,-3.0867704428029745e-06,-0.00010912471950524146,-0.0005835922123806978,-0.001601942310166464,-0.0032688442638764224,-0.005657038143881159,-0.008788694812129365,-0.012638319935633541,-0.017150869619425052,-0.02225862420259937,-0.027892089575196476,-0.033985777870758876,-0.04048071165464543,-0.04732510071237163,-0.05447410060945264,-0.06188916796927397,-0.06953728508806613,-0.07739018879203874
0.14,0.02612841092131759,0.024670080966613776,0.023211900323028133,0.02175364862110104,0.020295061757467685,0.018835831546345026,0.0173756073310235,0.01591399847083884,0.014450573440107764,0.012984843995353669,0.01151620707064412,0.010043783356669302,0.008566017661901933,0.007079730936199662,0.005577857003120261,0.004044041140415318,0.002445194265171724,0.0008358959561110418,2.4535357752520348e-05,1.6924331277749405e-52,1.6924331277749405e-52,-1.0114662442502635e-11,-1.3676560938845867e-06,-7.100282274982753e-05,-0.00045004188967180084,-0.001324952099270579,-0.0027892923673246274,-0.004913382391708833,-0.0077342655796983125,-0.011246770926851562,-0.015413389200387425,-0.02017886328232184,-0.025481565841357953,-0.031260461156909364,-0.03745871289837232,-0.04402519536092157,-0.050914829356933027,-0.05808831867412812,-0.06551161896334891,-0.07315531939394014
0.16,0.02728465256506541,0.02581834444545575,0.024351403475423365,0.022883566036405872,0.02141451621299831,0.019943875170326024,0.01847118427194356,0.016995875408178773,0.015517215347157833,0.014034197536376206,0.01254532707355503,0.011048183934340112,0.009538505290598187,0.008008148526020007,0.006440221030993351,0.0047968822481970754,0.002998000388308791,0.0010709577953316712,3.887523844553134e-05,2.538600560266367e-45,2.538600560266367e-45,-1.7601954121094355e-12,-5.88714501029817e-07,-4.43528649944712e-05,-0.0003389690811238826,-0.001085816540078714,-0.0023754028467948903,-0.004269976384632047,-0.006813411104138569,-0.010016541960831545,-0.013858308396993497,-0.01829642642895201,-0.023278187055493383,-0.028748106071511924,-0.03465245072786392,-0.040941540494215,-0.04757067055671777,-0.05450025712077648,-0.06169558017775445,-0.06912634400101689
0.18,0.02845010556247137,0.026978206451764256,0.025505184850418035,0.024030744530161727,0.02255452231730276,0.021076065458376248,0.019594794960636926,0.018109943692276483,0.016620448164417538,0.01512475317803421,0.01362044669469394,0.012103546842487677,0.010567025453216963,0.0089975077630283,0.007367232190312191,0.005613558644120807,0.003603062802726603,0.0013463243975238887,6.28524091355763e-05,2.420390916651864e-44,2.420390916651864e-44,-3.049260107403385e-13,-2.4911362651461615e-07,-2.6794920309067863e-05,-0.00024910082059460836,-0.0008793450595346019,-0.0020149607274275783,-0.00370931319432485,-0.006006294294157218,-0.008927648702094781,-0.012466701584531406,-0.016593984213126373,-0.021266377938876403,-0.026434854683823984,-0.03204965777680477,-0.03806329870851034,-0.044432051132825584,-0.05111651774808246,-0.05808166857626803,-0.06529660219173258
