n,Vth
-19,0.0
-18,0.0
-17,0.0
-16,0.0
-15,0.0
-14,0.0
-13,0.0
-12,0.0
-11,0.0
-10,0.0
-9,0.0
-8,0.0
-7,0.0
-6,0.0
-5,0.0
-4,0.0
-3,0.0
-2,0.0
-1,0.007934367582418708
0,
1,0.2593542744455241
2,0.2198527383685155
3,0.22266101456824322
4,0.2397502699224347
5,0.2597139316459231
6,0.2826746271738638
7,0.29950928889290107
8,0.31740263556672865
9,0.3399979396402401
10,0.3499447881948692
11,0.3696080118028452
12,0.38714712563146647
13,0.40151698250544804
14,0.41622676138843895
15,0.4349872041785382
16,0.44897826518817574
17,0.4647549746456328
18,0.4810834167490838
19,0.49709394928949546
