n,Vth
-19,0.0
-18,0.0
-17,0.0
-16,0.0
-15,0.0
-14,0.0
-13,0.0
-12,0.0
-11,0.0
-10,0.0
-9,0.0
-8,0.0
-7,0.0
-6,0.0
-5,0.0
-4,0.0
-3,0.0
-2,0.0
-1,0.059191535575010445
0,0.4998898364837874
1,0.2869810055158103
2,0.29987374034437914
3,0.3002576350627045
4,0.3099762197503866
5,0.3239236851817687
6,0.33400954203186156
7,0.3455842278641476
8,0.35579847500526285
9,0.3697069560762938
10,0.3892836287231571
11,0.41675015749632427
12,0.43826621931138854
13,0.4518835996995671
14,0.4650662518170008
15,0.4802201732644524
16,0.4981721834009552
17,0.5189297389818527
18,0.5387704762440291
19,0.5538957385486041
