Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,0.016596115501730117,0.015239021012123884,0.013906591036032014,0.012602060508581953,0.011329001720443373,0.01009132983901613,0.008893290894770426,0.007739422581142651,0.00663447634929825,0.005583291683952574,0.004590630266117095,0.003661035956225356,0.002798953515487297,0.002009764946905121,0.0013033252758842496,0.0007027742966904166,0.00025828714910896904,3.59580662390147e-05,1.3131582372296682e-07,NaN,NaN,-2.4000191743580607e-07,-8.059413411015672e-05,-0.0006625083764214048,-0.002205004781501804,-0.004923385064000225,-0.008787111732891593,-0.01364783276947046,-0.019333845405231826,-0.025689740284162373,-0.03258687018106166,-0.039922495366662016,-0.04761561460582957,-0.05560248439334398,-0.06383276011634187,-0.07226642616336211,-0.08087143293429096,-0.08962190142356385,-0.09849676327313908,-0.10747872849806628
0.02,0.018370177630329523,0.017002749305000994,0.015653906716551313,0.014325735063685802,0.01302046132068432,0.011740434335798949,0.01048809271926419,0.009265920728024934,0.008076399794156901,0.0069219827762535165,0.005805164979888642,0.004728834032172823,0.0036973168245176304,0.0027190139654669782,0.0018122625304401838,0.0010163298269160203,0.00040445978992476365,6.948518752803817e-05,4.576896244448904e-07,NaN,NaN,-1.2157387855470802e-07,-5.7117156546633406e-05,-0.0005131644321266141,-0.0017610595853044212,-0.00404106676469356,-0.007396850522510713,-0.011739082661051538,-0.016929051772677412,-0.02282603877616006,-0.029305831681761967,-0.03626501425745754,-0.04361963917431666,-0.05130221196034704,-0.05925854682874019,-0.06744502033498816,-0.07582633381373642,-0.08437374629401168,-0.09306369787331524,-0.10187674220470064
0.04,0.019920181322522247,0.01853708140317281,0.01716728804879677,0.015812014935901557,0.014472499899220788,0.01314998184844306,0.011845676053846975,0.010560757078414869,0.009296371883516657,0.008053733393318887,0.0068344014348085454,0.005640969831428238,0.0044785875058943065,0.003358089148979603,0.002301929827126044,0.0013540254012286944,0.0005917957123062621,0.00012510623352939327,1.2163562381865348e-06,NaN,NaN,-4.1707312222169255e-08,-3.84799593710031e-05,-0.00039761168395055626,-0.001419237729191226,-0.003336923753212006,-0.006244838438732748,-0.010108296273880445,-0.014825043024495334,-0.020273819276690915,-0.02633884310657434,-0.032918922164763866,-0.03992914881600315,-0.0472996003274633,-0.054973117879966955,-0.06290303410043799,-0.07105116354293166,-0.07938613240670211,-0.08788203053522083,-0.09651733859739432
0.06,0.021308855660430635,0.01990795129799376,0.018516019080525303,0.01713366253144397,0.01576145311125529,0.014399916313840584,0.013049526326379207,0.011710723718807648,0.010383984890453963,0.009069998490230404,0.007770051973384181,0.006486814852800605,0.00522584078322719,0.003998306844916956,0.002825747370392137,0.0017478402580642502,0.0008351110859449799,0.00020845538080248953,2.7403812514882157e-06,NaN,NaN,-9.456193486133474e-09,-2.3789202898139014e-05,-0.0003034701706794817,-0.0011484592524191256,-0.0027703936340466835,-0.005289805297794002,-0.008717797109026603,-0.012989111674025734,-0.018005337718919566,-0.02366259060251705,-0.029864669161740815,-0.03652771963634232,-0.043580796962735924,-0.050964730221297966,-0.05863045706208134,-0.06653733967592011,-0.07465165956046464,-0.08294534499516865,-0.09139492482504286
0.08,0.022588078379737104,0.021169592765954016,0.019756708017489563,0.018349635161916816,0.016948536394810903,0.015553522930152299,0.014164667174450266,0.01278204390597269,0.011405826382803502,0.01003648195187695,0.008675141532982862,0.0073242626088785715,0.005988770626716591,0.004677962180128033,0.00340867156487168,0.002211012445833208,0.0011413971658359786,0.000321070604834039,5.274748764047134e-06,NaN,NaN,-1.8025982124223993e-09,-1.3214940137793648e-05,-0.00022496471929741847,-0.0009270802590092546,-0.0023084685454854035,-0.004495441729016949,-0.0075328679204176,-0.011390181367820383,-0.015993653508114263,-0.021254065905594328,-0.027082720005803612,-0.03339877850057706,-0.04013171308868148,-0.04722136366885591,-0.054616988082973494,-0.0622759912247378,-0.07016265001849367,-0.07824696302604651,-0.0865036636553524
0.1,0.023798713705476225,0.022364369998435076,0.02093313385171295,0.019504984075813848,0.018079852249456622,0.016657628045121595,0.015238178845936761,0.013821394531078217,0.012407274522843669,0.010996082893341667,0.0095886085079047,0.008186580123802974,0.006793302193179549,0.005414615952319092,0.004060467550175819,0.0027482042105814357,0.0015130224785597454,0.0004634539761543295,9.303787569051013e-06,NaN,NaN,-3.258055307809221e-10,-6.6348252984935064e-06,-0.00016027243917846593,-0.0007413591259434398,-0.0019253566232430963,-0.003830505945104843,-0.006521992632917053,-0.009999068305384115,-0.014212866724044726,-0.019090766193381,-0.02455371654224907,-0.030525732702560156,-0.03693812644662019,-0.043730802217833584,-0.05085209975076857,-0.05825800996766338,-0.06591118955686943,-0.07377997746916103,-0.0818375002190725
0.12,0.024971474270012867,0.02352376870640497,0.02207740862845923,0.020632244268268648,0.019188083088983975,0.017744695518087703,0.01630183014756069,0.014859243428638595,0.013416749985996158,0.011974299476679752,0.010532082150111845,0.009090653899786638,0.007651047355017659,0.0062147964278472445,0.004783768539511291,0.003359894622773968,0.0019487578166149182,0.0006347778864967829,1.5407463736734414e-05,NaN,NaN,-5.771715539987609e-11,-3.0867704428029745e-06,-0.00010912471950524162,-0.0005835922123806982,-0.001601942310166464,-0.0032688442638764224,-0.005657038143881162,-0.00878869481212936,-0.01263831993563355,-0.017150869619425052,-0.022258624202599366,-0.027892089575196476,-0.03398577787075887,-0.04048071165464543,-0.04732510071237163,-0.05447410060945263,-0.06188916796927398,-0.06953728508806613,-0.07739018879203875
0.14,0.026128410921317423,0.024670080966613963,0.023211900323028105,0.021753648621100782,0.020295061757467866,0.018835831546345404,0.0173756073310235,0.015913998470838808,0.014450573440108007,0.012984843995353667,0.011516207070644055,0.01004378335666933,0.008566017661902032,0.007079730936199633,0.005577857003120263,0.004044041140415403,0.0024451942651717096,0.0008358959561110495,2.453535775252039e-05,NaN,NaN,-1.0114662442502736e-11,-1.3676560938845865e-06,-7.100282274982755e-05,-0.00045004188967179976,-0.001324952099270579,-0.002789292367324627,-0.004913382391708835,-0.007734265579698313,-0.011246770926851557,-0.015413389200387427,-0.02017886328232184,-0.025481565841357957,-0.031260461156909364,-0.03745871289837231,-0.04402519536092157,-0.050914829356933027,-0.05808831867412811,-0.06551161896334891,-0.07315531939394015
0.16,0.02728465256506546,0.02581834444545572,0.024351403475423188,0.02288356603640585,0.02141451621299831,0.019943875170326024,0.01847118427194364,0.016995875408178852,0.015517215347158029,0.014034197536376216,0.012545327073555138,0.011048183934339885,0.009538505290598197,0.008008148526020007,0.006440221030993294,0.004796882248197108,0.00299800038830876,0.0010709577953316818,3.887523844553134e-05,NaN,NaN,-1.7601954121094355e-12,-5.887145010298257e-07,-4.435286499447118e-05,-0.0003389690811238857,-0.0010858165400787136,-0.0023754028467948907,-0.004269976384632048,-0.006813411104138568,-0.010016541960831541,-0.013858308396993495,-0.018296426428952007,-0.023278187055493376,-0.028748106071511927,-0.034652450727863916,-0.040941540494215,-0.047570670556717765,-0.054500257120776475,-0.06169558017775444,-0.0691263440010169
0.18,0.028450105562471375,0.026978206451764256,0.025505184850417834,0.024030744530161727,0.02255452231730308,0.021076065458375988,0.01959479496063695,0.01810994369227667,0.016620448164417538,0.015124753178034193,0.013620446694693922,0.012103546842487791,0.010567025453216994,0.00899750776302828,0.007367232190312158,0.0056135586441207926,0.003603062802726583,0.0013463243975238778,6.28524091355763e-05,NaN,NaN,-3.0492601074034386e-13,-2.4911362651461996e-07,-2.6794920309067894e-05,-0.0002491008205946075,-0.0008793450595346064,-0.0020149607274275783,-0.0037093131943248523,-0.0060062942941572,-0.00892764870209478,-0.012466701584531408,-0.016593984213126373,-0.021266377938876396,-0.026434854683823984,-0.032049657776804776,-0.03806329870851034,-0.04443205113282559,-0.051116517748082464,-0.058081668576268036,-0.06529660219173257
