Vl,dT_th_Final,dI_ddT,S(V)
0.0,-0.006050877951181802,-0.008211030438946715,-0.008211030438946715
0.02,-0.002438484946830103,-0.007009377291869751,-0.007009377291869751
0.04,0.0021754695591501075,-0.013501829542689888,-0.013501829542689888
0.06,0.00581810930856312,-0.011908449523241294,-0.011908449523241294
0.08,0.012081657712891727,-0.011543242628153148,-0.011543242628153148
0.1,0.017581472138872765,-0.013506218491812567,-0.013506218491812567
0.12,0.020278568044351138,-0.016350842671740813,-0.016350842671740813
0.14,0.021564285048698013,-0.017278746624944344,-0.017278746624944344
0.16,0.023069170669376807,-0.015641674135895667,-0.015641674135895667
0.18,0.025802835796798863,-0.013353443787668824,-0.013353443787668824
0.2,0.029958755952474107,-0.011927586681887125,-0.011927586681887125
0.22,0.033511334465252396,-0.018187484646612496,-0.018187484646612496
0.24,0.04227495540162106,-0.004555637004742879,-0.004555637004742879
0.26,0.07682908871537425,-0.010997177974173442,-0.010997177974173442
0.28,0.08724329210390856,-0.01078550863713206,-0.01078550863713206
0.3,0.1349471038110812,-0.02104589991854852,-0.02104589991854852
0.32,0.16134746330063696,-0.02540108349387111,-0.02540108349387111
0.34,0.1837175652814538,-0.03342293634213048,-0.03342293634213048
0.36,0.21234183835814158,-0.044569294267285516,-0.044569294267285516
0.38,0.2328134441738624,-0.04617356836009527,-0.04617356836009527
0.4,0.25738739197996935,-0.05165959303415417,-0.05165959303415417
0.42,0.284430027370411,-0.05402424458825406,-0.05402424458825406
0.44,0.30657454710523374,-0.05491785423016935,-0.05491785423016935
0.46,0.33429920211540204,-0.05865756433751099,-0.05865756433751099
0.48,0.3587174715564242,-0.05948785999966646,-0.05948785999966646
