Column,n,deltaT,Vth_Linear,Vth_Cubic,Vth_Final,S(T)
Grad_-19_I,-19,-0.0095,,,,
Grad_-18_I,-18,-0.009000000000000001,,,,
Grad_-17_I,-17,-0.0085,,,,
Grad_-16_I,-16,-0.008,,,,
Grad_-15_I,-15,-0.0075,,,,
Grad_-14_I,-14,-0.007,,,,
Grad_-13_I,-13,-0.006500000000000001,,,,
Grad_-12_I,-12,-0.006,,,,
Grad_-11_I,-11,-0.0055,,,,
Grad_-10_I,-10,-0.005,,,,
Grad_-9_I,-9,-0.0045000000000000005,,,,
Grad_-8_I,-8,-0.004,,,,
Grad_-7_I,-7,-0.0035,,,,
Grad_-6_I,-6,-0.003,,,,
Grad_-5_I,-5,-0.0025,,,,
Grad_-4_I,-4,-0.002,,,,
Grad_-3_I,-3,-0.0015,,,,
Grad_-2_I,-2,-0.001,,,,
Grad_-1_I,-1,-0.0005,0.059191535575010445,0.049253856221145365,0.059191535575010445,
Grad_0_I,0,0.0,0.4998898364837874,0.49988221021737844,0.4998898364837874,
Grad_0_I.1,0,0.0,0.4998898364837874,0.49988221021737844,0.4998898364837874,
Grad_1_I,1,0.0005,0.2869810055158103,0.22668829735829732,0.2869810055158103,200.01609613940826
Grad_2_I,2,0.001,0.29987374034437914,0.29976877967429827,0.29987374034437914,-13.276629546894185
Grad_3_I,3,0.0015,0.30022111137638385,0.3002576350627045,0.3002576350627045,-10.10247940600749
Grad_4_I,4,0.002,0.3094809919844107,0.3099762197503866,0.3099762197503866,-23.666050119064153
Grad_5_I,5,0.0025,0.3226123918995734,0.3239236851817687,0.3239236851817687,-24.033322281474966
Grad_6_I,6,0.003,0.33224510421906484,0.33400954203186156,0.33400954203186156,-21.660542682378946
Grad_7_I,7,0.0035,0.3448233902952776,0.3455842278641476,0.3455842278641476,-21.7889329734013
Grad_8_I,8,0.004,0.35587121899798513,0.35579847500526285,0.35579847500526285,-24.12272821214617
Grad_9_I,9,0.0045000000000000005,0.3712955119249917,0.3697069560762938,0.3697069560762938,-33.48515371789426
Grad_10_I,10,0.005,0.391075683102025,0.3892836287231571,0.3892836287231571,-47.043201420030584
Grad_11_I,11,0.0055,0.41648629589570907,0.41675015749632427,0.41675015749632427,-48.982590588231346
Grad_12_I,12,0.006,0.4378365340061945,0.43826621931138854,0.43826621931138854,-35.133442203242794
Grad_13_I,13,0.006500000000000001,0.4516317681304297,0.4518835996995671,0.4518835996995671,-26.800032505612307
Grad_14_I,14,0.007,0.4656433334329887,0.4650662518170008,0.4650662518170008,-28.33657356488527
Grad_15_I,15,0.0075,0.4802988892197929,0.4802201732644524,0.4802201732644524,-33.105931583954316
Grad_16_I,16,0.008,0.4984447921342144,0.4981721834009552,0.4981721834009552,-38.70956571740021
Grad_17_I,17,0.0085,0.5189707396881181,0.5189297389818527,0.5189297389818527,-40.59829284307381
Grad_18_I,18,0.009000000000000001,0.5385928867055371,0.5387704762440291,0.5387704762440291,-34.96599956675129
Grad_19_I,19,0.0095,0.5537314896829978,0.5538957385486041,0.5538957385486041,-30.250524609150087
