Gap,Vl,I_0,delta_V,S(V)
$\Delta = 0$ (Metallic),0.0,-2.95e-109,0.0,0.0
$\Delta = 0$ (Metallic),0.02,1.3499999999999999e-101,0.0,0.0
$\Delta = 0$ (Metallic),0.04,5.18e-94,0.0,0.0
$\Delta = 0$ (Metallic),0.06,5.9299999999999996e-89,0.0,0.0
$\Delta = 0$ (Metallic),0.08,3.4900000000000004e-88,0.0,0.0
$\Delta = 0$ (Metallic),0.1,2.08e-87,0.0,0.0
$\Delta = 0$ (Metallic),0.12,2e-82,0.0,0.0
$\Delta = 0$ (Metallic),0.14,3.31e-74,0.0,0.0
$\Delta = 0$ (Metallic),0.16,-9.189999999999999e-68,0.0,0.0
$\Delta = 0$ (Metallic),0.18,-1.5299999999999998e-67,0.0,0.0
$\Delta = 0$ (Metallic),0.2,3.8e-63,0.0,0.0
$\Delta = 0$ (Metallic),0.22,6.51e-62,0.0,0.0
$\Delta = 0$ (Metallic),0.24,2.19e-54,0.0,0.0
$\Delta = 0$ (Metallic),0.26,7.610000000000001e-47,0.0,0.0
$\Delta = 0$ (Metallic),0.28,9.16e-41,0.0,0.0
$\Delta = 0$ (Metallic),0.3,5.9e-40,0.0,0.0
$\Delta = 0$ (Metallic),0.32,3.72e-39,0.0,0.0
$\Delta = 0$ (Metallic),0.34,6.12e-35,0.0,0.0
$\Delta = 0$ (Metallic),0.36,2.6700000000000002e-27,0.0,0.0
$\Delta = 0$ (Metallic),0.38,9.27e-20,-0.13999985679977414,-6.999992839988707
$\Delta = 0$ (Metallic),0.4,3.17e-17,-0.15999980035857067,-7.999990017928534
$\Delta = 0$ (Metallic),0.42,1.56e-16,-0.17999957839587236,-8.999978919793618
$\Delta = 0$ (Metallic),0.44,1.13e-15,-0.199997839122597,-9.999891956129849
$\Delta = 0$ (Metallic),0.46,6.5e-10,-0.1900869025450031,-9.504345127250154
$\Delta = 0$ (Metallic),0.48,1.25e-05,-0.05857254203318113,-2.9286271016590564
$\Delta = 0$ (Metallic),0.5,0.000224316,-0.01873597912890479,-0.9367989564452395
$\Delta = 0$ (Metallic),0.52,0.000328193,-0.03610997772839769,-1.8054988864198844
$\Delta = 0$ (Metallic),0.54,0.000706376,-0.04654954483518764,-2.327477241759382
$\Delta = 0$ (Metallic),0.56,0.003358182,-0.00430781483516085,-0.21539074175804251
$\Delta = 0$ (Metallic),0.58,0.004425784,-0.006023217749141163,-0.30116088745705816
$\Delta = 0$ (Metallic),0.6,0.005802045,-0.0025989621965428755,-0.12994810982714378
$\Delta = 0$ (Metallic),0.62,0.008159555,-0.0005910762958463156,-0.02955381479231578
$\Delta = 0$ (Metallic),0.64,0.009193886,-0.000718159544290109,-0.03590797721450545
$\Delta = 0$ (Metallic),0.66,0.01135745,-0.0001498516272024908,-0.0074925813601245395
$\Delta = 0$ (Metallic),0.68,0.013087104,-7.957275995995605e-05,-0.003978637997997803
$\Delta = 0$ (Metallic),0.7,0.014430989,-4.992591686270309e-05,-0.0024962958431351545
$\Delta = 0$ (Metallic),0.72,0.0167157,-1.1521544850845444e-05,-0.0005760772425422722
$\Delta = 0$ (Metallic),0.74,0.018084452,0.0,0.0
$\Delta = 0$ (Metallic),0.76,0.020004821,0.0,0.0
$\Delta = 0$ (Metallic),0.78,0.021899199,0.0,0.0
$\Delta = 0$ (Metallic),0.8,0.023330012,0.0,0.0
$\Delta = 0$ (Metallic),0.82,0.025485501,0.0,0.0
$\Delta = 0$ (Metallic),0.84,0.027037332,0.0,0.0
$\Delta = 0$ (Metallic),0.86,0.028859647,0.0,0.0
