m_value,dT_step,Vl,I_0,delta_V,S(V),delta_V_shifted,S_V_shifted
1,0.02,0.0,0.0,0.0,-0.0,1.0,1.0
1,0.02,0.02,3.62e-102,0.0,-0.0,1.0,1.0
1,0.02,0.04,3.22e-94,0.0,-0.0,1.0,1.0
1,0.02,0.06,6.0599999999999994e-89,0.0,-0.0,1.0,1.0
1,0.02,0.08,3.7000000000000003e-88,0.0,-0.0,1.0,1.0
1,0.02,0.1,2.26e-87,0.0,-0.0,1.0,1.0
1,0.02,0.12,2.3499999999999997e-82,0.0,-0.0,1.0,1.0
1,0.02,0.14,1.95e-74,0.0,-0.0,1.0,1.0
1,0.02,0.16,1.59e-66,0.0,-0.0,1.0,1.0
1,0.02,0.18,2.13e-64,0.0,-0.0,1.0,1.0
1,0.02,0.2,1.29e-63,0.0,-0.0,1.0,1.0
1,0.02,0.22,2.27e-62,0.0,-0.0,1.0,1.0
1,0.02,0.24,1.3899999999999998e-54,0.0,-0.0,1.0,1.0
1,0.02,0.26,8.64e-47,0.0,-0.0,1.0,1.0
1,0.02,0.28,5.6e-41,0.0,-0.0,1.0,1.0
1,0.02,0.3,3.16e-40,0.0,-0.0,1.0,1.0
1,0.02,0.32,1.72e-39,0.0,-0.0,1.0,1.0
1,0.02,0.34,1.36e-35,0.0,-0.0,1.0,1.0
1,0.02,0.36,1.0600000000000001e-29,0.0,-0.0,1.0,1.0
1,0.02,0.38,3.81e-27,0.0,-0.0,1.0,1.0
1,0.02,0.4,6.67e-27,0.0,-0.0,1.0,1.0
1,0.02,0.42,8.850000000000001e-27,0.0,-0.0,1.0,1.0
1,0.02,0.44,8.210000000000001e-26,-0.15996126036755182,7.99806301837759,-0.599612603675518,2.599612603675518
1,0.02,0.46,1.78e-25,-0.17996126036613386,8.998063018306693,-0.7996126036613385,2.7996126036613385
1,0.02,0.48,6.079999999999999e-23,-0.19996125946976973,9.998062973488485,-0.9996125946976971,2.9996125946976973
1,0.02,0.5,2.13e-15,-0.19999998404905772,9.999999202452885,-0.9999998404905771,2.999999840490577
1,0.02,0.52,1.18e-14,-0.21999978629827355,10.999989314913677,-1.1999978629827353,3.1999978629827353
1,0.02,0.54,5.84e-14,-0.23999883333172295,11.999941666586148,-1.3999883333172294,3.3999883333172294
1,0.02,0.56,6.61e-11,-0.2586482875001924,12.932414375009621,-1.586482875001924,3.5864828750019244
1,0.02,0.58,7.76e-06,-0.10750769230769225,5.375384615384612,-0.07507692307692243,2.075076923076922
1,0.02,0.6,0.00126069,-0.008879545939876166,0.4439772969938083,0.9112045406012383,1.0887954593987617
1,0.02,0.62,0.002016452,-0.019673449665103426,0.9836724832551713,0.8032655033489657,1.1967344966510343
1,0.02,0.64,0.00265109,-0.02639811487309074,1.319905743654537,0.7360188512690926,1.2639811487309074
1,0.02,0.66,0.006974388,-0.0011131679538395334,0.05565839769197667,0.9888683204616047,1.0111316795383953
1,0.02,0.68,0.008363078,0.0002918059979403198,-0.01459029989701599,1.0029180599794032,1.0029180599794032
1,0.02,0.7,0.010045191,-0.0007659386625211706,0.03829693312605853,0.9923406133747883,1.0076593866252117
1,0.02,0.72,0.012990494,0.00018801836585857767,-0.009400918292928884,1.0018801836585858,1.0018801836585858
1,0.02,0.74,0.013864298,4.0638927298997096e-05,-0.002031946364949855,1.00040638927299,1.00040638927299
1,0.02,0.76,0.016665613,-0.0004991154954840926,0.02495577477420463,0.9950088450451591,1.004991154954841
1,0.02,0.78,0.018299424,-0.00011336414858797994,0.005668207429398997,0.9988663585141202,1.0011336414858798
1,0.02,0.8,0.019643207,-0.0012084022245074655,0.060420111225373274,0.9879159777549253,1.0120840222450747
1,0.02,0.82,0.022417188,-0.0002910221076501962,0.01455110538250981,0.997089778923498,1.002910221076502
1,0.02,0.84,0.023482787,-0.0004925048036379387,0.024625240181896935,0.9950749519636206,1.0049250480363794
1,0.02,0.86,0.025883923,-0.0007227092018246006,0.03613546009123003,0.992772907981754,1.007227092018246
1,0.02,0.88,0.027711373,-0.0002882377019902682,0.01441188509951341,0.9971176229800973,1.0028823770199027
1,0.02,0.9,0.029016458,-0.0011269844898417203,0.056349224492086014,0.9887301551015828,1.0112698448984172
1,0.02,0.92,0.031663764,-0.00036635732134238097,0.01831786606711905,0.9963364267865762,1.0036635732134238
1,0.02,0.94,0.032895132,-0.00046508249626520115,0.023254124813260058,0.995349175037348,1.004650824962652
1,0.02,0.96,0.035081291,-0.0007590080209993744,0.03795040104996872,0.9924099197900063,1.0075900802099937
1,0.02,0.98,0.037014127,-0.0003094818169708802,0.015474090848544009,0.9969051818302912,1.0030948181697088
1,0.02,1.0,0.03834495,-0.0009583698103051708,0.04791849051525854,0.9904163018969483,1.0095836981030517
1,0.02,1.02,0.040873113,-0.00039375789677320583,0.01968789483866029,0.9960624210322679,1.003937578967732
1,0.02,1.04,0.042234503,-0.0004180631833790027,0.020903159168950136,0.99581936816621,1.00418063183379
